date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:13	3108/3108	---MCZ	200	added ('OK')	text/html	etag:W/%225420c196105f61d3121b237878be091e%22	https://oasse.vercel.app/	C:/My%20Web%20Sites/oaase/oasse.vercel.app/index.html	(from )
22:15:13	1004/1004	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222a680a6bf0a12f583d080b96c8b4bcda%22	https://oasse.vercel.app/robots.txt		(from )
22:15:13	25931/25931	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22c30c7d42707a47a3f4591831641e50dc%22	https://oasse.vercel.app/favicon.ico	C:/My%20Web%20Sites/oaase/oasse.vercel.app/favicon.ico	(from https://oasse.vercel.app/)
22:15:13	1676/1676	---MCZ	200	added ('OK')	text/css	etag:W/%227e348e4780f25550ec891129bd638042%22	https://oasse.vercel.app/_next/static/css/876d048b5dab7c28.css	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/css/876d048b5dab7c28.css	(from https://oasse.vercel.app/)
22:15:14	2352/2352	---MCZ	200	added ('OK')	text/css	etag:W/%229b9d6f81f478b781e900db672d95638e%22	https://oasse.vercel.app/_next/static/css/70d1e32f0c087c62.css	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/css/70d1e32f0c087c62.css	(from https://oasse.vercel.app/)
22:15:15	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://oasse.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://oasse.vercel.app/)
22:15:15	1430/1430	---MCZ	200	added ('OK')	application/javascript	etag:W/%2291afd732a8c34b482288b43ae19fddb7%22	https://oasse.vercel.app/_next/static/chunks/webpack-8fa1640cc84ba8fe.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/webpack-8fa1640cc84ba8fe.js	(from https://oasse.vercel.app/)
22:15:15	141052/141052	---MCZ	200	added ('OK')	application/javascript	etag:W/%227fc4bed6b4319c62343f0bf5db91a5bb%22	https://oasse.vercel.app/_next/static/chunks/framework-2c79e2a64abdb08b.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/framework-2c79e2a64abdb08b.js	(from https://oasse.vercel.app/)
22:15:15	90050/90050	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c75562829f6a22ce7505a9be40e2074%22	https://oasse.vercel.app/_next/static/chunks/main-0c597b21730512df.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/main-0c597b21730512df.js	(from https://oasse.vercel.app/)
22:15:15	470/470	---M--	200	added ('OK')	application/javascript	etag:%22b03f579665b14d76fde7a8b11f22f51f%22	https://oasse.vercel.app/_next/static/chunks/pages/_app-8d844a22b5bc2cbf.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/pages/_app-8d844a22b5bc2cbf.js	(from https://oasse.vercel.app/)
22:15:16	10648/10648	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f1fa25e1f1afb496a7971a659b50cf4%22	https://oasse.vercel.app/_next/static/chunks/pages/index-11b5e1f0153b6148.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/chunks/pages/index-11b5e1f0153b6148.js	(from https://oasse.vercel.app/)
22:15:16	316/316	---M--	200	added ('OK')	application/javascript	etag:%22791bab1f9d24b6e478347342ba4318b7%22	https://oasse.vercel.app/_next/static/E82qd-GWj6KrqR1_ohWa3/_buildManifest.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/E82qd-GWj6KrqR1_ohWa3/_buildManifest.js	(from https://oasse.vercel.app/)
22:15:16	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://oasse.vercel.app/_next/static/E82qd-GWj6KrqR1_ohWa3/_ssgManifest.js	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/static/E82qd-GWj6KrqR1_ohWa3/_ssgManifest.js	(from https://oasse.vercel.app/)
22:15:17	98196/98196	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2009:59:33%20GMT	https://oasse.vercel.app/_next/image?url=%2Fbanner.jpg&w=3840&q=75	C:/My%20Web%20Sites/oaase/oasse.vercel.app/_next/banner55a8.jpg	(from https://oasse.vercel.app/)
22:15:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Mar%202024%2016:45:18%20GMT	https://apps.elfsight.com/p/platform.js	C:/My%20Web%20Sites/oaase/apps.elfsight.com/p/platform.c.delayed	(from https://oasse.vercel.app/)
22:15:18	49245/49245	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea938560ae1a20790bf6327458b05878%22	https://static.elfsight.com/platform/platform.js	C:/My%20Web%20Sites/oaase/static.elfsight.com/platform/platform.js	(from https://oasse.vercel.app/)
